Feature,DecisionTree_Importance,RandomForest_Importance,Mean_Importance
age,0.012804034662266244,0.014308159576557402,0.013556097119411824
bmi,0.011267086468988434,0.0101445093604744,0.010705797914731417
elective_surgery,0.000584063115024895,0.0023698265219397278,0.0014769448184823114
ethnicity,0.002434491048210096,0.0020306753346146576,0.002232583191412377
gender,0.0015931025051345304,0.0009053484271123092,0.0012492254661234199
height,0.006796617234665341,0.007618969644873989,0.007207793439769665
icu_admit_source,0.0031812198444641565,0.0033913939423952425,0.0032863068934296993
icu_type,0.003940543182941603,0.003657488433588083,0.0037990158082648433
pre_icu_los_days,0.006188746749801245,0.007704193058077693,0.006946469903939469
weight,0.004963985073989191,0.009960625363659104,0.007462305218824147
apache_2_diagnosis,0.00596838590720881,0.011244728602110508,0.008606557254659659
apache_3j_diagnosis,0.023955153914361003,0.019646349132879926,0.021800751523620467
apache_post_operative,0.0005792858686912977,0.0014685821899736108,0.0010239340293324542
arf_apache,9.623235700674396e-05,0.0005095217167688294,0.00030287703688778667
bun_apache,0.006145277949268096,0.013780416736403052,0.009962847342835573
creatinine_apache,0.0039927963414570534,0.009956568534818884,0.006974682438137969
gcs_eyes_apache,0.002615905588464859,0.014370947681707732,0.008493426635086296
gcs_motor_apache,0.0019974984703288387,0.02160571127985129,0.011801604875090065
gcs_unable_apache,0.0005031243217345454,0.0005545156009017066,0.000528819961318126
gcs_verbal_apache,0.011912407694977981,0.013371748648632891,0.012642078171805435
glucose_apache,0.011071195908236376,0.009663419846064406,0.01036730787715039
heart_rate_apache,0.010145899010640995,0.009628628780114732,0.009887263895377862
hematocrit_apache,0.005339466945657008,0.007432080472165214,0.006385773708911111
intubated_apache,0.001348543782745334,0.003285834893864598,0.002317189338304966
map_apache,0.007975138223448428,0.008479101458538111,0.00822711984099327
resprate_apache,0.008410790709990651,0.009236276436829496,0.008823533573410074
sodium_apache,0.005997266059494617,0.005898998172874558,0.005948132116184588
temp_apache,0.006802386340429686,0.008669472682179689,0.007735929511304687
ventilated_apache,0.01598229030908324,0.022915747714552976,0.019449019011818107
wbc_apache,0.008274218639195264,0.00844639599233082,0.008360307315763042
d1_diasbp_max,0.005296767942300209,0.0068166316027149535,0.006056699772507581
d1_diasbp_min,0.006780044952802997,0.009794045722132492,0.008287045337467745
d1_diasbp_noninvasive_max,0.006683353978426056,0.006934976883970069,0.006809165431198062
d1_diasbp_noninvasive_min,0.007022672497959571,0.007519228038026065,0.007270950267992818
d1_heartrate_max,0.014176848332262416,0.013474974894247753,0.013825911613255085
d1_heartrate_min,0.01032143490879476,0.010571965030026843,0.010446699969410802
d1_mbp_max,0.005658650683275112,0.006826482372151483,0.006242566527713298
d1_mbp_min,0.00696817513344093,0.013481235604008759,0.010224705368724845
d1_mbp_noninvasive_max,0.007565793463588481,0.006779385891794036,0.007172589677691259
d1_mbp_noninvasive_min,0.025126629179008677,0.012935426471368399,0.019031027825188538
d1_resprate_max,0.009140170973578618,0.01173707057686267,0.010438620775220644
d1_resprate_min,0.007436650827600085,0.008733467687361772,0.008085059257480928
d1_spo2_max,0.0013648391135380404,0.0021514401665021395,0.00175813964002009
d1_spo2_min,0.013245879244488319,0.02194385601667135,0.017594867630579835
d1_sysbp_max,0.007662139051363949,0.007923286595607294,0.007792712823485622
d1_sysbp_min,0.006820224915744876,0.026086740752185842,0.01645348283396536
d1_sysbp_noninvasive_max,0.008683022055212394,0.0075691144814802455,0.00812606826834632
d1_sysbp_noninvasive_min,0.014974424310985154,0.021694630163237992,0.018334527237111573
d1_temp_max,0.006418861703375504,0.008200916653091521,0.007309889178233513
d1_temp_min,0.00856263945845625,0.010798157482916366,0.00968039847068631
h1_diasbp_max,0.007272331868013224,0.006313679775531134,0.006793005821772179
h1_diasbp_min,0.005437243050902424,0.006228678652975036,0.0058329608519387295
h1_diasbp_noninvasive_max,0.005880953526925598,0.006222947909910623,0.00605195071841811
h1_diasbp_noninvasive_min,0.004865948907237528,0.006823003290993895,0.005844476099115712
h1_heartrate_max,0.00867262606156263,0.008295761084669003,0.008484193573115816
h1_heartrate_min,0.007777902875594443,0.008168451902912143,0.007973177389253292
h1_mbp_max,0.0056196236127061365,0.006219575152753502,0.005919599382729819
h1_mbp_min,0.007031121072812081,0.007265611275368623,0.007148366174090351
h1_mbp_noninvasive_max,0.006274904529838933,0.006168603518080693,0.006221754023959813
h1_mbp_noninvasive_min,0.005102651624162357,0.00652911661268006,0.005815884118421209
h1_resprate_max,0.008654592298043459,0.008643191045459424,0.008648891671751441
h1_resprate_min,0.005076472439460055,0.010740706225875463,0.007908589332667759
h1_spo2_max,0.004524423794008261,0.003850463404468726,0.004187443599238493
h1_spo2_min,0.004389371550917686,0.005810034237338799,0.005099702894128243
h1_sysbp_max,0.007460505246635467,0.006853333147264313,0.00715691919694989
h1_sysbp_min,0.007597491415239179,0.008822092391465801,0.00820979190335249
h1_sysbp_noninvasive_max,0.006757670651326074,0.006645006888479784,0.006701338769902929
h1_sysbp_noninvasive_min,0.005118008031493728,0.00798451348851719,0.006551260760005459
h1_temp_max,0.007662108539478101,0.007562074819209351,0.007612091679343726
h1_temp_min,0.008402676256857772,0.006947241002265968,0.0076749586295618705
d1_bun_max,0.01962798794367275,0.01839987157108967,0.019013929757381212
d1_bun_min,0.010760812801476184,0.015075687962612657,0.01291825038204442
d1_calcium_max,0.005534828305531557,0.006613591824849539,0.006074210065190547
d1_calcium_min,0.006330027109073681,0.0071337622245662684,0.006731894666819975
d1_creatinine_max,0.010384855900855073,0.01077610604554237,0.010580480973198723
d1_creatinine_min,0.006821529237133451,0.009798041743017901,0.008309785490075676
d1_glucose_max,0.010421483888321483,0.009214113982234822,0.009817798935278153
d1_glucose_min,0.009448507495320129,0.009035787661012845,0.009242147578166486
d1_hco3_max,0.006384330506092314,0.008841835304736428,0.00761308290541437
d1_hco3_min,0.00835147460870933,0.011689336499747825,0.010020405554228578
d1_hemaglobin_max,0.006075901536190709,0.007346815129481729,0.006711358332836219
d1_hemaglobin_min,0.008784104452147426,0.007618863282204294,0.00820148386717586
d1_hematocrit_max,0.006902423693059194,0.00753823371658264,0.007220328704820917
d1_hematocrit_min,0.00888762900275311,0.00763374093426143,0.00826068496850727
d1_platelets_max,0.0062664036108726695,0.009337352208212307,0.007801877909542489
d1_platelets_min,0.01146488986534197,0.010071826328595821,0.010768358096968897
d1_potassium_max,0.005960025132298136,0.006835965578474914,0.006397995355386525
d1_potassium_min,0.003479940509574031,0.007228557297599389,0.00535424890358671
d1_sodium_max,0.004952672484558407,0.006869547520479457,0.005911110002518932
d1_sodium_min,0.004983959856940897,0.006399901394363221,0.005691930625652059
d1_wbc_max,0.00825091782518535,0.009037257456780738,0.008644087640983044
d1_wbc_min,0.008001001103626629,0.008621193145294978,0.008311097124460803
apache_4a_hospital_death_prob,0.30498559312895324,0.07885086654759026,0.19191822983827175
apache_4a_icu_death_prob,0.006679137919568397,0.08204143983986478,0.04436028887971659
aids,8.585396115004792e-05,5.210734801217419e-05,6.898065458111106e-05
cirrhosis,3.187842378133657e-05,0.0003932195362661972,0.00021254898002376688
diabetes_mellitus,0.0008322020189466267,0.0011111326331925224,0.0009716673260695746
hepatic_failure,0.0005662745511561577,0.0004619184006116161,0.0005140964758838869
immunosuppression,0.0005077446325202378,0.0006075975329575421,0.00055767108273889
leukemia,0.00016278094805646746,0.00018859169243248255,0.00017568632024447502
lymphoma,2.9690569743853697e-05,0.0001681170497724935,9.89038097581736e-05
solid_tumor_with_metastasis,0.0008501002995112107,0.0007774479224056412,0.000813774110958426
apache_3j_bodysystem,0.0026608575859054704,0.004313736986467266,0.0034872972861863683
apache_2_bodysystem,0.002177174784648379,0.0035930805492526813,0.00288512766695053
